﻿Title:,"Table 11 - Head of provider remuneration"
Subtitle:,"Academic years 2016/17 to 2021/22"
Reference ID:,DT031 Table 11
Data source:,HESA / OfS
Data source link:,https://www.hesa.ac.uk/data-and-analysis/finances/table-11
Data file canonical link:,https://www.hesa.ac.uk/data-and-analysis/finances/table-11.csv
Licence:,Creative Commons Attribution 4.0 International Licence
Date:,2023
Filters:,Country of HE provider,All 
,Region of HE provider,All 
,Academic year,2021/22 
,Head of provider,Head of provider at financial year end 
,Financial Year End,All 
Search:,


"","","","","","","(£000s)","","",""
"UKPRN","HE Provider","Financial Year End","Start date of service in head of provider role (YYYY-MM-DD)","End date of service in head of provider role (YYYY-MM-DD)","Total remuneration (before salary sacrifice)","Head of the provider's basic salary divided by the median pay (salary)","Head of the provider's total remuneration divided by the median total remuneration."
"10004740","Northern College of Acupuncture","2022-06-30","19990701","","59","1.7","1.7"
"10001282","University of Northumbria at Newcastle","2022-07-31","20220518","","62","6.5","7.5"
"10004775","Norwich University of the Arts","2022-07-31","20210501","","250","6.9","7.6"
"10007154","University of Nottingham","2022-07-31","20171002","","333","8.0","7.4"
"10004797","The Nottingham Trent University","2022-07-31","20140801","","337","8.1","9.1"
"10007773","The Open University","2022-07-31","20191001","","317","6.7","7.5"
"10004930","Oxford Brookes University","2022-07-31","20150201","","253","6.9","6.3"
"10007774","The University of Oxford","2022-07-31","20160101","","542","10.7","11.2"
"10042570","Pearson College","2021-12-31","20110131","","295","5.5","7.3"
"10005127","Arts University Plymouth","2022-07-31","20210801","","173","4.4","4.8"
"10007801","University of Plymouth","2022-07-31","20160201","","307","7.0","7.0"
"10019178","Point Blank Music School","2021-12-31","20180101","","170","0.7","6.0"
"10007155","The University of Portsmouth","2022-07-31","20130901","","359","7.5","7.5"
"10083476","The Prince's Foundation","2022-03-31","20210904","","87","5.8","5.7"
"10005337","Queen Margaret University, Edinburgh","2022-07-31","20191001","","238","5.6","4.6"
"10007775","Queen Mary University of London","2022-07-31","20170901","","345","8.6","7.9"
"10025197","University Centre Quayside Limited","2022-02-28","19970801","","105","1.0","3.3"
"10009292","Royal Academy of Dramatic Art","2022-07-31","20220601","","23","3.2","3.2"
"10005544","Royal Academy of Dance","2022-07-31","20220301","","52","4.1","4.1"
"10005389","Ravensbourne University London","2022-07-31","20190601","","198","3.7","3.7"
"10005470","Richmond, The American International University in London","2022-06-30","20191211","","256","5.5","6.3"
"10007802","The University of Reading","2022-07-31","20180922","","249","6.4","6.4"
"10086591","Regent's University London Limited","2022-06-30","20200920","","266","5.0","7.1"
"10021100","Regents Theological College","2021-09-30","20160515","","96","4.4","4.3"
"10023871","Results Consortium Limited","2022-07-31","20211101","","41","2.4","2.1"
"10008455","Regent College London","2022-07-31","20100801","","238","7.0","11.1"
"10005500","Robert Gordon University","2022-07-31","20200817","","260","7.6","6.1"
"10007776","Roehampton University","2022-07-31","20190501","","319","7.0","8.7"
"10020436","Royal School of Needlework (The)","2021-08-31","20070820","","105","2.3","2.3"
"10007835","Royal Academy of Music","2022-07-31","20080801","","271","5.7","6.6"
"10005545","Royal Agricultural University","2022-07-31","20210901","","182","6.3","5.7"
"10007777","Royal College of Art","2022-07-31","20090901","","320","5.3","5.2"
"10007778","Royal College of Music","2022-07-31","20050901","","288","6.3","6.6"
"10005561","Royal Conservatoire of Scotland","2022-07-31","20140901","","188","3.2","3.3"
"10005553","Royal Holloway and Bedford New College","2022-07-31","20100816","","338","8.7","9.3"
"10007837","Royal Northern College of Music","2022-07-31","20120801","","197","3.9","4.4"
"10007779","The Royal Veterinary College","2022-07-31","20110101","","392","7.4","9.4"
"10007803","The University of St. Andrews","2022-07-31","20160901","","349","7.4","7.5"
"10007839","SAE Education Limited","2022-06-30","20190621","","131","3.3","4.1"
"10007782","St George's, University of London","2022-07-31","20151102","","260","6.4","5.6"
"10008026","St Mary's University College","2022-07-31","20080425","","156","3.1","3.1"
