﻿Title:,"Table 11 - Head of provider remuneration"
Subtitle:,"Academic years 2016/17 to 2021/22"
Reference ID:,DT031 Table 11
Data source:,HESA / OfS
Data source link:,https://www.hesa.ac.uk/data-and-analysis/finances/table-11
Data file canonical link:,https://www.hesa.ac.uk/data-and-analysis/finances/table-11.csv
Licence:,Creative Commons Attribution 4.0 International Licence
Date:,2023
Filters:,Country of HE provider,All 
,Region of HE provider,All 
,Academic year,2020/21 
,Head of provider,Head of provider at financial year end 
,Financial Year End,All 
Search:,


"","","","","","","(£000s)","","",""
"UKPRN","HE Provider","Financial Year End","Start date of service in head of provider role (YYYY-MM-DD)","End date of service in head of provider role (YYYY-MM-DD)","Total remuneration (before salary sacrifice)","Head of the provider's basic salary divided by the median pay (salary)","Head of the provider's total remuneration divided by the median total remuneration."
"10003863","Leeds Trinity University","2021-07-31","","","172","5.5","5.5"
"10082828","College of Legal Practice Limited","2021-06-30","","","162","2.6","2.7"
"10007796","The University of Leicester","2021-07-31","","","303","6.7","6.9"
"10007151","The University of Lincoln","2021-07-31","","","0","0.0","0.0"
"10003956","Liverpool Hope University","2021-07-31","","","378","8.6","8.8"
"10003957","Liverpool John Moores University","2021-07-31","","","0","0.0","0.0"
"10003945","The Liverpool Institute for Performing Arts","2021-07-31","","","0","0.0","0.0"
"10006842","The University of Liverpool","2021-07-31","","","361","8.1","8.7"
"10003958","Liverpool School of Tropical Medicine","2021-07-31","","","260","6.8","5.9"
"10007162","University of the Arts, London","2021-07-31","","","141","7.2","7.1"
"10013109","London Bridge Business Academy","2020-12-31","","","11","0.3","0.3"
"10007769","London Business School","2021-07-31","","","577","9.3","11.6"
"10007797","University of London (Institutes and activities)","2021-07-31","","","291","8.2","8.0"
"10039082","City and Guilds of London Art School","2020-08-31","","","75","2.4","2.5"
"10023434","London School of Commerce & IT Limited","2021-03-31","","","31","1.0","1.0"
"10004036","London Film School Limited","2020-08-31","","","104","3.0","2.9"
