"UKPRN","HE.provider","date","Open.ended.Permanent","Fixed.term","Total.academic.staff","Total","Total.European.Union","Total_nonuk","ratio_permanent","ratio_casual","prop_permanent","prop_casual","staffstudent_ratio","prop_non_uk","prop_eu","latest_prop_casual_2022"
10000824,"Bournemouth University","2014-2015",730,95,830,18225,940,2575,7.68421052631579,0.13013698630137,87.9518072289157,11.4457831325301,24.9657534246575,14,5,8.60215053763441
10007785,"The University of Bradford","2014-2015",530,110,640,11520,665,1940,4.81818181818182,0.207547169811321,82.8125,17.1875,21.7358490566038,17,6,8.84955752212389
10000886,"The University of Brighton","2014-2015",1125,615,1745,20685,1145,2910,1.82926829268293,0.546666666666667,64.4699140401146,35.243553008596,18.3866666666667,14,6,21.8543046357616
10007786,"The University of Bristol","2014-2015",1885,1010,2895,21555,1045,4915,1.86633663366337,0.535809018567639,65.1122625215889,34.8877374784111,11.4350132625995,23,5,12.5173852573018
10000961,"Brunel University London","2014-2015",635,565,1200,13720,810,4385,1.12389380530973,0.889763779527559,52.9166666666667,47.0833333333333,21.6062992125984,32,6,41.06463878327
10000975,"Buckinghamshire New University","2014-2015",340,145,485,9035,455,810,2.3448275862069,0.426470588235294,70.1030927835051,29.8969072164948,26.5735294117647,9,5,46.6019417475728
10007787,"The University of Buckingham","2014-2015",140,20,160,2245,135,880,7,0.142857142857143,87.5,12.5,16.0357142857143,39,6,NA
10007788,"The University of Cambridge","2014-2015",3750,1940,5690,19515,2370,6370,1.93298969072165,0.517333333333333,65.9050966608084,34.0949033391916,5.204,33,12,43.9641109298532
10003324,"The Institute of Cancer Research","2014-2015",280,360,640,300,15,20,0.777777777777778,1.28571428571429,43.75,56.25,1.07142857142857,7,5,55.1470588235294
10001143,"Canterbury Christ Church University","2014-2015",605,120,730,16020,605,850,5.04166666666667,0.198347107438017,82.8767123287671,16.4383561643836,26.4793388429752,5,4,9.39597315436242
10007814,"Cardiff University","2014-2015",2315,1065,3380,30480,1315,6990,2.17370892018779,0.460043196544276,68.491124260355,31.508875739645,13.1663066954644,23,4,28.0882352941176
10007854,"Cardiff Metropolitan University","2014-2015",625,95,720,13670,380,4720,6.57894736842105,0.152,86.8055555555556,13.1944444444444,21.872,35,3,10.3896103896104
10007141,"The University of Central Lancashire","2014-2015",1065,315,1380,25655,635,2880,3.38095238095238,0.295774647887324,77.1739130434783,22.8260869565217,24.0892018779343,11,2,11.9883040935673
10007848,"University of Chester","2014-2015",370,230,600,15130,250,1285,1.60869565217391,0.621621621621622,61.6666666666667,38.3333333333333,40.8918918918919,8,2,18.6046511627907
10007137,"The University of Chichester","2014-2015",235,265,500,5445,55,140,0.886792452830189,1.12765957446809,47,53,23.1702127659574,3,1,28.4313725490196
10001478,"The City University","2014-2015",810,920,1730,NA,NA,NA,0.880434782608696,1.1358024691358,46.8208092485549,53.1791907514451,NA,NA,NA,NA
10001653,"Conservatoire for Dance and Drama","2014-2015",235,30,260,1260,175,390,7.83333333333333,0.127659574468085,90.3846153846154,11.5384615384615,5.36170212765957,31,14,11.5384615384615
10007761,"Courtauld Institute of Art","2014-2015",30,5,35,470,65,160,6,0.166666666666667,85.7142857142857,14.2857142857143,15.6666666666667,34,14,56.25
10001726,"Coventry University","2014-2015",1205,795,2000,27600,1750,9100,1.51572327044025,0.659751037344398,60.25,39.75,22.9045643153527,33,6,23.5294117647059
10007822,"Cranfield University","2014-2015",520,145,660,4150,1050,2320,3.58620689655172,0.278846153846154,78.7878787878788,21.969696969697,7.98076923076923,56,25,26.7123287671233
